,realestate_existing_n,realestate_existing_p,realestate_existing_a,realestate_new_n,realestate_new_p,realestate_new_a,realestate_stock_n,realestate_stock_p,realestate_stock_a,secondary_existing_n,secondary_existing_p,secondary_existing_a,secondary_new_n,secondary_new_p,secondary_new_a,secondary_stock_n,secondary_stock_p,secondary_stock_a,other_sector_existing_n,other_sector_existing_p,other_sector_existing_a,other_sector_new_n,other_sector_new_p,other_sector_new_a,other_sector_stock_n,other_sector_stock_p,other_sector_stock_a,tertiary_existing_n,tertiary_existing_p,tertiary_existing_a,tertiary_new_n,tertiary_new_p,tertiary_new_a,tertiary_stock_n,tertiary_stock_p,tertiary_stock_a,government_existing_n,government_existing_p,government_existing_a,government_new_n,government_new_p,government_new_a,government_stock_n,government_stock_p,government_stock_a,primary_existing_n,primary_existing_p,primary_existing_a,primary_new_n,primary_new_p,primary_new_a,primary_stock_n,primary_stock_p,primary_stock_a
410406,1.0,133.0,0.3009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410407,1.0,1423.58,1.8741,0.0,0.0,0.0,0.0,0.0,0.0,2.0,784.6978,4.9077,2.0,495.36199999999997,6.84465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,136.0423,1.1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.327,1.206671,0.0,0.0,0.0
410408,7.0,5596.2366999999995,9.333,1.0,78.0,0.839596,0.0,0.0,0.0,2.0,58.292899999999996,0.2394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1390.4697999999999,7.5485999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410409,18.0,36540.9693,32.1236,6.0,24498.026199999997,17.373800000000003,2.0,3651.1844,2.1157,5.0,1478.8479,7.7739,2.0,1790.0253,3.2508999999999997,1.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11797.1355,12.998789999999998,8.0,2884.1938,12.1139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410410,22.0,33418.0852,21.1903,14.0,69139.9245,56.077499999999986,6.0,0.0,121.95469999999999,26.0,16291.556700000001,72.5855,10.0,13543.1096,41.0697,0.0,0.0,0.0,1.0,144.171,0.3204,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3593.076,7.7783,9.0,4469.1425,9.023,7.0,0.0,46.495799999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410411,18.0,29683.274699999998,14.565000000000001,10.0,48137.04749999999,80.1954,6.0,3509.8163000000004,23.677,7.0,5669.596299999999,15.451500000000001,4.0,16867.92,47.6401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6671.3905,8.2709,8.0,25424.5657,56.089299999999994,1.0,1.6056,0.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410412,16.0,22431.430399999997,19.066820999999997,18.0,54338.37959999999,127.89761100000001,1.0,148.0753,1.935631,8.0,5822.693799999999,18.617401,3.0,15902.0228,43.3052,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,195.8726,0.0,0.0,0.0,5.0,740.5577,4.15207,4.0,0.0,10.580303999999998,0.0,0.0,0.0,1.0,0.0,1.4377,3.0,0.0,4.5391200000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410413,15.0,26428.8874,21.218898,15.0,118281.2711,65.692902,2.0,5827.0893,10.49926,3.0,3805.4135,12.639869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7988.7141999999985,4.167136,30.0,40691.356100000005,119.44056499999999,1.0,0.0,0.95971,3.0,0.0,1.6239510000000001,1.0,0.0,5.951578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410414,16.0,34206.0083,49.16658,18.0,68421.6888,59.595263,0.0,0.0,0.0,16.0,892.427,15.143934000000002,6.0,25027.2672,50.977897999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1372.1599,3.0047109999999995,56.0,2935.4841,67.023106,0.0,0.0,0.0,1.0,4189.458,2.14844,129.0,3726.4784,626.4371160000001,1.0,0.0,9.04252,2.0,648.3792,3.08752,0.0,0.0,0.0,0.0,0.0,0.0
410415,11.0,53874.5923,17.159428,12.0,84726.05790000001,26.968334000000006,0.0,0.0,0.0,3.0,7599.679099999999,45.490691000000005,3.0,9656.0955,24.674063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,51.9078,392.6196279999999,5.0,8283.1472,16.017677,0.0,0.0,0.0,19.0,898.9401,82.548057,0.0,0.0,0.0,2.0,0.0,41.827,1.0,290.2482,1.0593,0.0,0.0,0.0,0.0,0.0,0.0
410416,27.0,189397.20940000002,53.707617,17.0,68619.7225,36.872528,0.0,0.0,0.0,9.0,3446.3474,14.013603000000002,3.0,5402.265600000001,18.007551999999997,0.0,0.0,0.0,1.0,136.2,0.1513,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7669.5618,21.490574000000002,2.0,1863.6127999999999,1.168399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,762.7673,1.45289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,4062.1175999999996,52.393699999999995,2.0,169.13,3.7137000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6009.6437000000005,39.4437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,12770.402699999999,40.0941,1.0,570.2,0.9978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410507,4.0,1127.6,0.9836,1.0,973.5342,2.0199,1.0,6943.0,8.9774,5.0,2179.632,9.9914,12.0,10086.6626,60.4579,0.0,0.0,0.0,18.0,12048.65,14.9432,7.0,0.0,30.020000000000003,0.0,0.0,0.0,3.0,398.72,16.589199999999998,9.0,2629.0278,77.26520000000001,2.0,0.0,14.559999999999999,2.0,201.14,4.1067,2.0,0.0,0.8109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410508,8.0,1932.0039000000002,4.5976,10.0,34961.0,115.2042,0.0,0.0,0.0,5.0,239.9994,1.2547,1.0,349.81,0.5224,1.0,43139.0,155.442235,1.0,119.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,574.808,0.5779,4.0,2241.2853,37.2786,2.0,180.09,10.4379,0.0,0.0,0.0,1.0,0.0,6.3754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410509,31.0,20064.7206,45.858300000000014,7.0,31543.0,92.8658,33.0,67810.3381,120.214572,5.0,1982.2916999999998,7.610599999999999,1.0,399.8232,2.2637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1367.799,5.2783999999999995,6.0,833.886,87.373089,5.0,5659.592,64.184,0.0,0.0,0.0,2.0,187.9761,11.320400000000001,64.0,0.0,726.6742999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
