,cityID,total_n,total_p,total_a,招拍挂_n,招拍挂_p,招拍挂_a,协议出让_n,协议出让_p,协议出让_a,划拨_n,划拨_p,划拨_a,其他_n,其他_p,其他_a,租赁_n,租赁_p,租赁_a,existing_n,existing_p,existing_a,new_n,new_p,new_a,stock_n,stock_p,stock_a
130209,唐山市,188.0,286269.1542,586.184941,131.0,273953.8603,418.36298999999997,33.0,10677.301199999998,28.567751,24.0,1637.9927,139.2542,0.0,0.0,0.0,0.0,0.0,0.0,104.0,228107.95050000004,225.78354000000002,57.0,51057.6565,227.17840099999998,27.0,7103.5472,133.223
130210,唐山市,364.0,1688225.5648999999,1648.34128,271.0,1645140.6971,1262.927222,50.0,11120.633200000002,33.654758,43.0,31964.2346,351.7593,0.0,0.0,0.0,0.0,0.0,0.0,219.0,972661.5457000001,831.710094,124.0,549672.1586999999,679.8009390000001,21.0,165891.8605,136.83024699999999
130211,唐山市,402.0,1399235.6884,2091.6444199999996,205.0,1014345.7575000001,1014.201207,150.0,372358.6075,786.764332,47.0,12531.323400000001,290.67888099999993,0.0,0.0,0.0,0.0,0.0,0.0,257.0,1040144.1581,1464.2191240000002,123.0,298477.43080000003,489.96489599999995,22.0,60614.0995,137.46040000000002
130212,唐山市,407.0,1165363.1925,3261.033515,171.0,784490.6138999999,1468.2880770000002,197.0,365926.26310000004,1645.6627169999997,39.0,14946.3155,147.082721,0.0,0.0,0.0,0.0,0.0,0.0,269.0,791388.4137000002,2736.8636540000007,121.0,280637.62020000006,389.006708,17.0,93337.1586,135.163153
130213,唐山市,763.0,1547499.0529999998,2709.671826,373.0,1313808.9221,1371.093984,339.0,190249.14119999998,614.729971,51.0,43440.9897,723.847871,0.0,0.0,0.0,0.0,0.0,0.0,450.0,812830.4287,1271.622227,281.0,517226.0905,1288.5564989999998,32.0,217442.53379999998,149.49309999999997
130214,唐山市,472.0,854087.3037,1770.621348,249.0,783117.9188000001,1129.815701,182.0,57942.7054,192.94124500000004,41.0,13026.6795,447.86440200000004,0.0,0.0,0.0,0.0,0.0,0.0,296.0,436913.96210000006,777.878021,150.0,333116.3151,844.571677,26.0,84057.02649999999,148.17165
130215,唐山市,335.0,406129.9804,874.201806,147.0,291543.2643,440.595963,150.0,100071.1807,245.19111199999998,38.0,14515.535399999999,188.414731,0.0,0.0,0.0,0.0,0.0,0.0,188.0,247752.8882,414.947111,116.0,79368.07440000001,292.03546300000005,31.0,79009.01780000002,167.219232
130216,唐山市,468.0,514224.03369999997,1947.754379,163.0,300306.91170000006,719.7614149999999,240.0,145345.2897,317.961668,65.0,68571.83230000001,910.031296,0.0,0.0,0.0,0.0,0.0,0.0,328.0,279650.1066,909.4432280000001,117.0,188014.7296,572.303433,23.0,46559.1975,466.00771799999995
130304,秦皇岛市,1.0,12.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0
130307,秦皇岛市,188.0,342096.0632,447.7599,31.0,219612.61999999997,211.39470000000003,132.0,108559.19829999999,174.0231,25.0,13924.244899999998,62.3421,0.0,0.0,0.0,0.0,0.0,0.0,127.0,287869.5891,198.59120000000001,50.0,44855.6059,183.0103,11.0,9370.8682,66.1584
