,realestate_auction_n,realestate_auction_p,realestate_auction_a,realestate_agreement_n,realestate_agreement_p,realestate_agreement_a,realestate_transfer_n,realestate_transfer_p,realestate_transfer_a,realestate_other_n,realestate_other_p,realestate_other_a,realestate_lease_n,realestate_lease_p,realestate_lease_a,secondary_auction_n,secondary_auction_p,secondary_auction_a,secondary_agreement_n,secondary_agreement_p,secondary_agreement_a,secondary_transfer_n,secondary_transfer_p,secondary_transfer_a,secondary_other_n,secondary_other_p,secondary_other_a,secondary_lease_n,secondary_lease_p,secondary_lease_a,other_auction_n,other_auction_p,other_auction_a,other_agreement_n,other_agreement_p,other_agreement_a,other_transfer_n,other_transfer_p,other_transfer_a,other_other_n,other_other_p,other_other_a,other_lease_n,other_lease_p,other_lease_a,tertiary_auction_n,tertiary_auction_p,tertiary_auction_a,tertiary_agreement_n,tertiary_agreement_p,tertiary_agreement_a,tertiary_transfer_n,tertiary_transfer_p,tertiary_transfer_a,tertiary_other_n,tertiary_other_p,tertiary_other_a,tertiary_lease_n,tertiary_lease_p,tertiary_lease_a,government_auction_n,government_auction_p,government_auction_a,government_agreement_n,government_agreement_p,government_agreement_a,government_transfer_n,government_transfer_p,government_transfer_a,government_other_n,government_other_p,government_other_a,government_lease_n,government_lease_p,government_lease_a,primary_auction_n,primary_auction_p,primary_auction_a,primary_agreement_n,primary_agreement_p,primary_agreement_a,primary_transfer_n,primary_transfer_p,primary_transfer_a,primary_other_n,primary_other_p,primary_other_a,primary_lease_n,primary_lease_p,primary_lease_a
350911,17.0,284899.0078,66.8591,0.0,0.0,0.0,1.0,2808.4875,7.4893,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20779.926399999997,65.4361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7295.43,33.4467,0.0,0.0,0.0,1.0,32.0319,1.2447,0.0,0.0,0.0,0.0,0.0,0.0,10.0,99154.35,44.2925,1.0,759.98,2.0002,10.0,0.0,71.1488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.015700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350912,3.0,22100.0,4.0158000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7756.336800000001,36.4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,531.41,3.3232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,136734.326,78.6772,0.0,0.0,0.0,10.0,2219.81,12.283900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,851.3,2.303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.14,0.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350913,6.0,71362.3174,19.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9032.15,38.5927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,172178.0,62.131,1.0,389.13,1.526,15.0,1081.6179,40.8706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1228.8525,17.1032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2988.492,15.3256,0.0,0.0,0.0,1.0,0.0,0.4393,0.0,0.0,0.0,0.0,0.0,0.0
350914,3.0,46651.0,6.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2375.64,9.1876,2.0,453.104,2.3510999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2354.0,8.7535,1.0,5398.4475,26.4866,6.0,432.2493,4.634399999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.0,62570.0,47.7438,2.0,8058.8975,39.070499999999996,12.0,7365.16,53.28330000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,128.0,6.2303999999999995,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5264.0,25.7285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350915,3.0,34086.0,7.4254999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12681.67,60.841800000000006,7.0,0.0,26.7777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7271.2,26.302500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,34547.0,24.5774,5.0,1347.3413,20.1197,16.0,4371.6849999999995,150.71023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,816.0,2.1633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350916,2.0,158000.0,21.9022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4181.52,18.3456,0.0,0.0,0.0,1.0,252.945,0.2409,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12854.0,38.46510000000001,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4950.0,4.5486,26.0,5188.05,176.78412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.4806999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,652.4448,10.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,182932.48820000005,211.5371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2831.028,6.5637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,306744.6288,333.8061,48.0,76769.1047,105.24260000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.036,2.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,226392.31150000004,80.2603,20.0,64368.157400000004,60.0715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
